Source	Source_label	Target	Target_label	Based_on_page	Type	Kind	Holy_table_timestamp	Generator_version	Validity	Validity_certainty	Validity_note	Validation_manual_or_automated	Human_editor	Human_timestamp	Validator_editor	Validator_timestamp	Warning
55	Ponce Amiel	180	Aymeri Barrot	181	Undirected												
55	Ponce Amiel	227	Arnaud Bernard	181	Undirected												
55	Ponce Amiel	684	Ponce Fogassier	181	Undirected												
55	Ponce Amiel	1633	(companion of Ponce Fogassier)	181	Undirected				missing altogether due to the inconsistent method of the index	y	Anonymous socius not present in the index. Added to GuiSent Names.	m					
180	Aymeri Barrot	227	Arnaud Bernard	181	Undirected												
180	Aymeri Barrot	684	Ponce Fogassier	181	Undirected												
180	Aymeri Barrot	1633	(companion of Ponce Fogassier)	181	Undirected												
227	Arnaud Bernard	684	Ponce Fogassier	181	Undirected												
227	Arnaud Bernard	1633	(companion of Ponce Fogassier)	181	Undirected				missing altogether due to the inconsistent method of the index		Anonymous socius not present in the index. Added to GuiSent Names.	m					
684	Ponce Fogassier	1633	(companion of Ponce Fogassier)	181	Undirected				missing altogether due to the inconsistent method of the index		Anonymous socius not present in the index. Added to GuiSent Names.	m					
23	Albert	139	Pierre Autier	183	Undirected												
23	Albert	140	Jacques Autier	183	Undirected												
23	Albert	180	Aymeri Barrot	183	Undirected												
139	Pierre Autier	140	Jacques Autier	183	Undirected												
139	Pierre Autier	180	Aymeri Barrot	183	Undirected												
140	Jacques Autier	180	Aymeri Barrot	183	Undirected												
1064	Raimond Maurel	1065	Philippa Maurel	185	Undirected												
139	Pierre Autier	140	Jacques Autier	187	Undirected												
139	Pierre Autier	1065	Philippa Maurel	187	Undirected												
139	Pierre Autier	1451	Pierre Raimond Sartre	187	Undirected												
140	Jacques Autier	1065	Philippa Maurel	187	Undirected												
140	Jacques Autier	1451	Pierre Raimond Sartre	187	Undirected												
1065	Philippa Maurel	1451	Pierre Raimond Sartre	187	Undirected												
139	Pierre Autier	517	Guillaume Domergue	191	Undirected				incorrect due to wrong assignment to network		Guillaume Domergue incorrectly explicitly in the "d" network while used only for identification. I think that in later datasets (RegFournier, Guglielmites), I was more consistent in this. Corrected in GuiSent Names.	m					
139	Pierre Autier	518	Ricarde Domergue	191	Undirected				correct			m					
139	Pierre Autier	1207	Amiel de Perles	191	Undirected				correct			m					
517	Guillaume Domergue	518	Ricarde Domergue	191	Undirected				incorrect due to wrong assignment to network		Husband and wife. But husband's heresy unknown, and so for the evaluation of e.g. gender and heresy, the inclusion of this link is incorrect.	m					
517	Guillaume Domergue	1207	Amiel de Perles	191	Undirected				incorrect due to wrong assignment to network		Guillaume Domergue incorrectly explicitly in the "d" network while used only for identification. I think that in later datasets (RegFournier, Guglielmites), I was more consistent in this. Corrected in GuiSent Names.	m					
518	Ricarde Domergue	1207	Amiel de Perles	191	Undirected				correct			m					
518	Ricarde Domergue	519	Raimond Domergue	191	Undirected				missing here due to page break but present elsewhere			m					
518	Ricarde Domergue	520	Guillemette Domergue	191	Undirected				missing here due to page break but present elsewhere			m					
519	Raimond Domergue	139	Pierre Autier	191	Undirected				missing here due to page break but present elsewhere			m					
519	Raimond Domergue	1207	Amiel de Perles	191	Undirected				missing here due to page break but present elsewhere			m					
520	Guillemette Domergue	139	Pierre Autier	191	Undirected				missing here due to page break but present elsewhere			m					
520	Guillemette Domergue	1207	Amiel de Perles	191	Undirected				missing here due to page break but present elsewhere			m					
140	Jacques Autier	518	Ricarde Domergue	193	Undirected												
140	Jacques Autier	519	Raimond Domergue	193	Undirected												
140	Jacques Autier	520	Guillemette Domergue	193	Undirected												
140	Jacques Autier	899	Géraud Isarn	193	Undirected												
140	Jacques Autier	900	Guillemette Isarn	193	Undirected												
140	Jacques Autier	902	Guillaume Isarn	193	Undirected												
518	Ricarde Domergue	519	Raimond Domergue	193	Undirected												
518	Ricarde Domergue	520	Guillemette Domergue	193	Undirected												
518	Ricarde Domergue	899	Géraud Isarn	193	Undirected												
518	Ricarde Domergue	900	Guillemette Isarn	193	Undirected												
518	Ricarde Domergue	902	Guillaume Isarn	193	Undirected												
519	Raimond Domergue	520	Guillemette Domergue	193	Undirected												
519	Raimond Domergue	899	Géraud Isarn	193	Undirected												
519	Raimond Domergue	900	Guillemette Isarn	193	Undirected												
519	Raimond Domergue	902	Guillaume Isarn	193	Undirected												
520	Guillemette Domergue	899	Géraud Isarn	193	Undirected												
520	Guillemette Domergue	900	Guillemette Isarn	193	Undirected												
520	Guillemette Domergue	902	Guillaume Isarn	193	Undirected												
899	Géraud Isarn	900	Guillemette Isarn	193	Undirected												
899	Géraud Isarn	902	Guillaume Isarn	193	Undirected												
900	Guillemette Isarn	902	Guillaume Isarn	193	Undirected												
777	Pierre Gilbert	778	Etiennette Gilbert	195	Undirected												
777	Pierre Gilbert	1287	Martin Proault	195	Undirected												
778	Etiennette Gilbert	1287	Martin Proault	195	Undirected												
123	Bernard Audouy	139	Pierre Autier	197	Undirected												
123	Bernard Audouy	140	Jacques Autier	197	Undirected												
123	Bernard Audouy	143	Guillaume Autier	197	Undirected												
123	Bernard Audouy	470	Philippe de Coustaussa	197	Undirected												
123	Bernard Audouy	1207	Amiel de Perles	197	Undirected												
123	Bernard Audouy	1273	André de Prades	197	Undirected												
123	Bernard Audouy	1451	Pierre Raimond Sartre	197	Undirected												
139	Pierre Autier	140	Jacques Autier	197	Undirected												
139	Pierre Autier	143	Guillaume Autier	197	Undirected												
139	Pierre Autier	470	Philippe de Coustaussa	197	Undirected												
139	Pierre Autier	1207	Amiel de Perles	197	Undirected												
139	Pierre Autier	1273	André de Prades	197	Undirected												
139	Pierre Autier	1451	Pierre Raimond Sartre	197	Undirected												
140	Jacques Autier	143	Guillaume Autier	197	Undirected												
140	Jacques Autier	470	Philippe de Coustaussa	197	Undirected												
140	Jacques Autier	1207	Amiel de Perles	197	Undirected												
140	Jacques Autier	1273	André de Prades	197	Undirected												
140	Jacques Autier	1451	Pierre Raimond Sartre	197	Undirected												
143	Guillaume Autier	470	Philippe de Coustaussa	197	Undirected												
143	Guillaume Autier	1207	Amiel de Perles	197	Undirected												
143	Guillaume Autier	1273	André de Prades	197	Undirected												
143	Guillaume Autier	1451	Pierre Raimond Sartre	197	Undirected												
470	Philippe de Coustaussa	1207	Amiel de Perles	197	Undirected				incorrect strictly speaking but can be inferred		I went through all the cooccurrences (on the basis of the index) and found no explicit testimony of their acquaintance, but they circulate somehow in the same surroundings (p. 783), are received in the same houses (p. 259, 263), even if sometimes they operate in two different dioceses (p. 231). They were both in Lombardy (p. 233). And importantly, they are both earlier members of Peter Autier's group. This allows me to do what I did not in some cases, e.g. with Raimond Faure - infer the edge.	m					
470	Philippe de Coustaussa	1273	André de Prades	197	Undirected												
470	Philippe de Coustaussa	1451	Pierre Raimond Sartre	197	Undirected				incorrect here but appears elsewhere		P. 819 explicitly. Plus they are met by the same people (p. 455, 469, 687, 783). Pierre Raimond also comes to visit Auda (p. 481), who lives in the same house in Toulouse with Philippe (p. 299), probably also at that time.	m					
1207	Amiel de Perles	1273	André de Prades	197	Undirected												
1207	Amiel de Perles	1451	Pierre Raimond Sartre	197	Undirected												
1273	André de Prades	1451	Pierre Raimond Sartre	197	Undirected												
6	Mathieu Aicart	123	Bernard Audouy	211	Undirected												
6	Mathieu Aicart	139	Pierre Autier	211	Undirected												
6	Mathieu Aicart	140	Jacques Autier	211	Undirected												
6	Mathieu Aicart	171	Bernard du Barri	211	Undirected												
6	Mathieu Aicart	1451	Pierre Raimond Sartre	211	Undirected												
123	Bernard Audouy	139	Pierre Autier	211	Undirected												
123	Bernard Audouy	140	Jacques Autier	211	Undirected												
123	Bernard Audouy	171	Bernard du Barri	211	Undirected												
123	Bernard Audouy	1451	Pierre Raimond Sartre	211	Undirected												
139	Pierre Autier	140	Jacques Autier	211	Undirected												
139	Pierre Autier	171	Bernard du Barri	211	Undirected												
139	Pierre Autier	1451	Pierre Raimond Sartre	211	Undirected												
140	Jacques Autier	171	Bernard du Barri	211	Undirected												
140	Jacques Autier	1451	Pierre Raimond Sartre	211	Undirected												
171	Bernard du Barri	1451	Pierre Raimond Sartre	211	Undirected												
139	Pierre Autier	140	Jacques Autier	213	Undirected												
139	Pierre Autier	143	Guillaume Autier	213	Undirected												
139	Pierre Autier	174	Jacques du Barri	213	Undirected												
139	Pierre Autier	175	Blanche du Barri	213	Undirected												
139	Pierre Autier	235	Jean Bernier	213	Undirected												
139	Pierre Autier	236	Ayceline Bernier	213	Undirected												
139	Pierre Autier	518	Ricarde Domergue	213	Undirected												
139	Pierre Autier	520	Guillemette Domergue	213	Undirected												
139	Pierre Autier	625	Raimonde Faure	213	Undirected												
139	Pierre Autier	1207	Amiel de Perles	213	Undirected												
139	Pierre Autier	1273	André de Prades	213	Undirected												
139	Pierre Autier	1288	Guillemette Proault	213	Undirected				incorrect here but appears elsewhere		Guillelmette's brother knows both Pierre and Jacques Autier (p. 303) and guides an unnamed heretic to her when terminally ill (p. 303).	m					
139	Pierre Autier	1451	Pierre Raimond Sartre	213	Undirected												
140	Jacques Autier	143	Guillaume Autier	213	Undirected												
140	Jacques Autier	174	Jacques du Barri	213	Undirected												
140	Jacques Autier	175	Blanche du Barri	213	Undirected												
140	Jacques Autier	235	Jean Bernier	213	Undirected												
140	Jacques Autier	236	Ayceline Bernier	213	Undirected												
140	Jacques Autier	518	Ricarde Domergue	213	Undirected												
140	Jacques Autier	520	Guillemette Domergue	213	Undirected												
140	Jacques Autier	625	Raimonde Faure	213	Undirected												
140	Jacques Autier	1207	Amiel de Perles	213	Undirected												
140	Jacques Autier	1273	André de Prades	213	Undirected												
140	Jacques Autier	1288	Guillemette Proault	213	Undirected				incorrect here but appears elsewhere			m					
140	Jacques Autier	1451	Pierre Raimond Sartre	213	Undirected												
143	Guillaume Autier	174	Jacques du Barri	213	Undirected												
143	Guillaume Autier	175	Blanche du Barri	213	Undirected												
143	Guillaume Autier	235	Jean Bernier	213	Undirected												
143	Guillaume Autier	236	Ayceline Bernier	213	Undirected												
143	Guillaume Autier	518	Ricarde Domergue	213	Undirected												
143	Guillaume Autier	520	Guillemette Domergue	213	Undirected												
143	Guillaume Autier	625	Raimonde Faure	213	Undirected												
143	Guillaume Autier	1207	Amiel de Perles	213	Undirected												
143	Guillaume Autier	1273	André de Prades	213	Undirected												
143	Guillaume Autier	1288	Guillemette Proault	213	Undirected												
143	Guillaume Autier	1451	Pierre Raimond Sartre	213	Undirected												
174	Jacques du Barri	175	Blanche du Barri	213	Undirected												
