ID,Label,Label_latin,Label_untreated,Name,Collective,Name_alternative,Honorific,Family_name,Family_name_alternative,Connector2,Surname,Surname_alternative,Senior/Junior,Alias,Origin_or_residence,Origin,Residence,Sex,Sex_guessing_hits,Sex_guessing_trace,Heretic,Order,Occupation/office,Occupation_general,Occupation_type,Occupation_guess_rank,Occupation_guess,Fugitive,Network,Relations,Footnotes,Notes,Pages_or_folios,Pages_introduction,Pages_footnotes,Original_entry_untreated_parts,Original_entry_complete,Entry_main_editor
1,(abbot of Gaillac),,abbot of Gaillac,,,,,,,,,,,,,,,m,,,no,,,,,,,,,,ref. 62r added by DZ,,XXV:62r,,,,"abbot of Gaillac, 107, 62r {ref. 62r added by DZ}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
2,(abbot of Nérac),,abbot of Nérac,,,,,,,,,,,,,,,m,,,no,,,,,,,,,,,,,,,,"abbot of Nérac, 274r n. 18",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
3,(abbot of Saint-Papoul),,abbot of Saint-Papoul,,,,,,,,,,,,,,,m,,,no,,,,,,,,,,,,,,,,"abbot of Saint-Papoul, 26v n. 42",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
4,Adalmurs Berengar,"Adalmurs, uxor Pontii Berengerii","Adalmurs, wife of Pons Berengar",Adalmurs,,,,Berengar,,,,,,,,,,f,f,gender_role1 (wife),no,,,,,,,,,,,,XXVI:4r,,,,"Adalmurs, wife of Pons Berengar [Adalmurs, uxor Pontii Berengerii], 4r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
5,Adam,Adam,Adam,Adam,,,,,,,,,,,,,,m,,,no,,,,,,,,,,,,XXVI:29v,,,,"Adam [Adam], 29v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
6,Adam,Adam,Adam,Adam,,,,,,,,,,,,,,m,,,no,Cistercian monk,cellarer,labourer,churchperson,63,"{u'cellarer': [[63, u'cellarer', u'labourer', u'manual-worker']]}",,,,,,XXV:223r,,,cellarer,"Adam [Adam], Cistercian monk, cellarer, 223r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
7,Adam Barta,Adam Barta/Barca de Soricino,Adam Barta of Sorèze,Adam,,,,Barta,,of,Sorèze,,,,,,,m,,,no,,,,,,,,,,,,"XXV:251r, XXV:252v, XXV:253v, XXV:261v, XXV:266r, XXV:269r, XXV:270r, XXV:271r, XXV:277v, XXV:278r, XXV:281v, XXV:293v, XXV:294r, XXVI:4r",,,,"Adam Barta of Sorèze [Adam Barta/Barca de Soricino], 100; 251r, 252v, 253v, 261v, 266r, 269r, 270r, 271r, 277v, 278r, 281v, 293v, 294r, 4r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
8,Adam Olier,Adam Olerii de Soricino,Adam Olier of Sorèze,Adam,,,,Olier,,of,Sorèze,,,,,,,m,,,no,,,,,,,,,,,,"XXV:257v, XXV:258r, XXV:258v, XXV:261v, XXV:266r, XXV:270r, XXV:270v, XXV:278v, XXV:293v",,,,"Adam Olier of Sorèze [Adam Olerii de Soricino], 257v, 258r, 258v, 261v, 266r, 270r, 270v, 278v, 293v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
9,Adam Reynold,Adam Raynaldi/Rainaldi,Adam Reynold,Adam,,,,Reynold,,,,,,,,,,m,,,no,,cleric,cleric,free profession,100,"{u'cleric': [[100, u'cleric', u'cleric', u'free profession'], [67, u'cleric', u'cutler', u'craftsman'], [62, u'cleric', u'cobbler', u'craftsman']]}",,,,,,"XXV:252r, XXV:261v, XXV:270v, XXV:278r, XXV:278v",,,,"Adam Reynold [Adam Raynaldi/Rainaldi], cleric, 252r, 261v, 270v, 278r, 278v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
10,Adémar,Ademarius,Adémar,Adémar,,,,,,,,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,bailli,bailli,official,100,"{u'bailli': [[100, u'bailli', u'bailli', u'official']]}",,,,,,XXVI:52v,,,,"Adémar [Ademarius], bailli, 52v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
11,Adémar Farat,Ademarius Farat,Adémar Farat,Adémar,,,,Farat,,,,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,,,,,,,,,,,XXV:198r,,,,"Adémar Farat [Ademarius Farat], 198r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
12,Adémar Galos,Ademarius Galofi de Monte Esquivo,Adémar Galos of Montesquieu,Adémar,,,,Galos,,of,Montesquieu,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,,,,,,,,,,,"XXV:202v, XXV:206v, XXV:203r, XXV:203v, XXV:204r, XXV:204v, XXV:205r, XXV:205v, XXV:206r",,,,"Adémar Galos of Montesquieu [Ademarius Galofi de Monte Esquivo], 53, 74, 75 n. 33; 202v–206v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
13,Adémar of Baraigne,Ademarius de Varanhano,Adémar of Baraigne,Adémar,,,,,,of,Baraigne,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,,,,,,,,,,,"XXV:321r, XXV:331r",,,,"Adémar of Baraigne [Ademarius de Varanhano], 321r, 331r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
14,Adémar of Lasbordes,Ademarius de Bordis,Adémar of Lasbordes,Adémar,,,,,,of,Lasbordes,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,bailli,bailli,official,100,"{u'bailli': [[100, u'bailli', u'bailli', u'official']]}",,,,,,"XXVI:73r, XXVI:74r",,,,"Adémar of Lasbordes [Ademarius de Bordis], bailli, 73r, 74r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
15,Adémar of Rubeo,Ademarius de Rubeo,Adémar of Rubeo,Adémar,,,,,,of,Rubeo,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,,,,,,,,,,,,XXVI:65r,,,,"Adémar of Rubeo [Ademarius de Rubeo], 65r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
16,Adémar of Saint-Paul,Ademarius de Sancto Paulo,Adémar of Saint-Paul,Adémar,,,,,,of,Saint-Paul,,,,,,,m,mm,english_names1(Adémar) latin_guess1,no,OP,,,churchperson,,,,i,,,,XXVI:5v,,,,"Adémar of Saint-Paul [Ademarius de Sancto Paulo], OP, 107 n. 219; 5v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
17,Agrefuella,Agrefuella,Agrefuella,Agrefuella,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,XXVI:68v,,,,"Agrefuella [Agrefuella], H, 68v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
18,Aicelina,Aicelina/Ancelina/Aycelina,Aicelina,Aicelina,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,"N1 Here and at 322r, 323r, <71r-v>, ‘domina’.",,"XXV:134r, XXV:297v, XXV:298r, XXV:317v, XXV:322r, XXV:323r, XXVI:1r, XXVI:54v, XXVI:71r, XXVI:71v",,,,"Aicelina [Aicelina/Ancelina/Aycelina], H, 131v n. 8, 134r, 297v, 298r, 317v {N1 Here and at 322r, 323r, <71r-v>, ‘domina’.}, 322r, 323r, 1r, 54v, 71r, 71v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
19,Aicelina Vassal,"Aycelina, uxor Amblardi Vassalli","Aicelina, wife of Amblard Vassal",Aicelina,,,,Vassal,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,fugitive,,,,,"XXV:183r, XXV:184v, XXV:187v",,,,"Aicelina, wife of Amblard Vassal [Aycelina, uxor Amblardi Vassalli], fugitive, 183r, 184v, 187v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
20,Aicelina of Corneilhan,,Aicelina,Aicelina,,,,,,of,Corneilhan,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Aicelina, wife of Arnold of Corneilhan, 259v n. 22",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
21,Aimengarda of Graissens,Aymengardis/Ermengardis de Graishenx de Sancto Paulo de Cadaiovis,Aimengarda of Graissens of Saint-Paul-Cap-de-Joux,Aimengarda,,,,,,of,Graissens,,,,Saint-Paul-Cap-de-Joux,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:152r, XXV:152v",,,,"Aimengarda of Graissens of Saint-Paul-Cap-de-Joux [Aymengardis/Ermengardis de Graishenx de Sancto Paulo de Cadaiovis], 152r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
22,Aimengarda of Prades,Aimengarda/Aimengardia/Avangarda de Pradis/Pradas,Aimengarda of Prades,Aimengarda,,,,,,of,Prades,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,fugitive,,,,,"XXV:45r, XXV:46r, XXV:45v, XXV:48v",,,,"Aimengarda of Prades [Aimengarda/Aimengardia/Avangarda de Pradis/Pradas], H, fugitive, 45r–46r, 48v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
23,Aimery,Aimericus,Aimery,Aimery,,,,,,,,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,fugitive,,,N2 Here ‘qui solet morari in Tholosa’. Possibly Aimery of Toulouse.,,XXVI:73v,,,,"Aimery [Aimericus], fugitive, <73v> {N2 Here ‘qui solet morari in Tholosa’. Possibly Aimery of Toulouse.}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
24,Aimery,Aimericus,Aimery,Aimery,,,,,,,,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,priest,priest,churchperson,100,"{u'priest': [[100, u'priest', u'priest', u'churchperson'], [75, u'priest', u'archpriest', u'churchperson'], [67, u'priest', u'prince', u'knight/noble'], [62, u'priest', u'peasant', u'production'], [62, u'priest', u'peasant', u'production-worker']]}",,,,,,XXV:161v,,,,"Aimery [Aimericus], priest, 108; 161v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
25,Aimery Barrau,Aymericus Barravi,Aimery Barrau,Aimery,,,,Barrau,,,,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,OP,,,churchperson,,,,i,,,,XXV:247v,,,,"Aimery Barrau [Aymericus Barravi], 106 n. 218; OP, 247v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
26,Aimery of Castelnau,Aymericus de Castronovo de Exilio,Aimery of Castelnau of Issel,Aimery,,,,,,of,Castelnau,,,,Issel,,,m,mm,english_names1(Aimery) latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,"XXV:201v, XXV:202v, XXV:202r",,,,"Aimery of Castelnau of Issel [Aymericus de Castronovo de Exilio], knight, 47; 201v–202v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
27,Aimery of Castelnau,Aymericus de Castronovo,Aimery of Castelnau,Aimery,,,,,,of,Castelnau,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,,,,,,"XXV:243r, XXV:243v",,,,"Aimery of Castelnau [Aymericus de Castronovo], 243r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
