id	id_old	label	collective	name	connector1	family_name	maiden_family_name	connector2	surname	name_french	name_alternative	connector1_french	family_name_french	family_name_alternative	maiden_family_name_french	connector2_french	surname_french	surname_alternative	senior_or_junior	alias	origin_or_residence	origin	residence	age	age_class	sex	dissident_minister	deathbed_consolament	order	dead	occupation_or_office	occupation_general	occupation_type	education	network	relations	notes	pages_or_folios	entry_main_editor
P0367	367	Raimond Carlat 								Raimond			Carlat								Alet					m	no		OFM			friar	churchperson		d		apostate	1347	Tereza Menšíková
P0183	183	Barthélemy 								Barthélemy											Alet					m	no		none								religious	1187, 1199	Tereza Menšíková
P0509	509	Barthélemy Desvignes 								Barthélemy			Desvignes	de Na Bernarde							Alzonne					m	no		none							sonofID_508 (Pierre Desvignes)		99, 1447, 1461, 1465, 1501, 1515, 1531	Tereza Menšíková
P0722	722	Guillaume Gari 								Guillaume			Gari								Alzonne					m	no		none	1								99, 1461, 1495, 1499, 1513, 1537-1543, 1547, 1551, 1557, 1561	Tereza Menšíková
P1044	1044	Guillaume Mathieu 								Guillaume			Mathieu								Alzonne					m	no		none	1								99, 1447, 1463, 1511, 1515, 1531	Tereza Menšíková
P1174	1174	Guillaume Odet 								Guillaume			Odet								Alzonne					m	no		none									101, 1555, 1557, 1561	Tereza Menšíková
P1170	1170	Jean Odet 								Jean			Odet								Alzonne					m	no		none									101, 1493, 1587	Tereza Menšíková
P1380	1380	Jean Rouan 								Jean			Rouan								Alzonne					m	no		none									99, 1447, 1509, 1531	Tereza Menšíková
P1102	1102	Michel 								Michel											Alzonne		Alzonne			m	no		none	1							I went through some mentions, he really does not have a surname, he is Burgundus but this is all as identification.	101, 1499, 1505-1509, 1539-1543, 1561	David Zbíral
P0012	12	Pierre Aimon 								Pierre			Aimon								Alzonne					m	no		none							sonofID_10 (Michel Aimon), husbandofID_13 (Martine Aimon), husbandofID_19 ((unknown first name) Aimon)		99, 1445, 1449-1453, 1463, 1465, 1491, 1497, 1503, 1515, 1531, 1539, 1541, 1555, 1561, 1563, 1569	Tereza Menšíková
P0077	77	Pierre Aragon 								Pierre			Aragon								Alzonne					m	no		none	1						husbandofID_78 (Jeanne Aragon)			Tereza Menšíková
P0369	369	Pierre Carrot 								Pierre			Carrot						Sr		Alzonne					m	no		none									99, 1501, 1537, 1541, 1545, 1547, 1561	Tereza Menšíková
P1511	1511	Durand Teisseyre 								Durand			Teisseyre								Appelle					m	no		none									99, 209	Tereza Menšíková
P0476	476	Pierre Cristol 								Pierre			Cristol								Appelle					m	no		none									99, 209, 567	Tereza Menšíková
P0763	763	Gérard 								Gérard											Arles		Arles			m	v		none		Waldensian brother	Waldensian brother	dissident minister					1271	Tereza Menšíková
P1482	1482	Philippe Sicre 								Philippe			Sicre								Ascou					m	no		none									101, 1285	Tereza Menšíková
P1496	1496	Raimond Sicre 								Raimond			Sicre								Ascou					m	no		none									101, 1637	Tereza Menšíková
P1296	1296	Bernard 								Bernard											Aston					m	no		none										Tereza Menšíková
P0620	620	Adam 								Adam											Auriac-sur-Vendinelle					m	no		none										Tereza Menšíková
P0929	929	Pierre 								Pierre											Auriac-sur-Vendinelle					m	no		none										Tereza Menšíková
P0761	761	Pierre Gautier 								Pierre			Gautier								Auriac-sur-Vendinelle					m	no		none									103, 357, 361	Tereza Menšíková
P0573	573	Rixende Durand 								Rixende			Durand		de Moure						Aurin					f	no		none							wifeofID_572 (Bernard Durand), daughterofID_1155 (Guillaume de Moure), daughterofID_1156 (Guillemette de Moure)		105, 887, 893, 895	Tereza Menšíková
P0855	855	Raimond Guiraud 								Raimond			Guiraud								Aurin, parish Sainte-Apollonie					m	no		none	1								635, 637, 659, 707, 769, 901, 1439	Tereza Menšíková
