id	id_old	name	name_latin	locality_type	country_or_region	diocese	département	arrondissement	canton	commune	c_départment	c_arrondissement	c_canton	c_commune	x_coordinates	y_coordinates	localisation_certainty	localisation_notes	editor	controlled_by	pages_or_folios	references_count	pages_or_folios_not_hotspots_of_dissent	notes
L0001	1	Abbeville					Somme				Somme	Abbeville	Abbeville	Abbeville	1.836	50.106	1	localised to the town church	Mertel	Zbíral	997	1		
L0002	2	Ablis					Seine-et-Oise		Dourdan												335, 337, 539, 547, 549, 555, 561, 563, 859, 867, 1261	11		
L0003	3	Adour church		church							Landes	Mont-de-Marsan	Grenade-sur-l'Adour	Grenade-sur-l'Adour	-0.428	43.777					205, 339	2		
L0004	4	Agde					Hérault				Hérault	Béziers	Agde	Agde	3.476	43.311					201, 205, 1353, 1377, 1383, 1615	6		
L0005	5	Agen					Lot-et-Garonne				Lot-et-Garonne	Agen	Agen	Agen	0.621	44.205					965	1		
L0006	6	Agenais		region							Lot-et-Garonne	Agen	Agen	Agen	0.617	44.200					851	1		
L0007	7	Aire									Marne	Reims	Reims	Reims	4.035	49.263					973	1		
L0008	8	Airoux					Aude		Castelnaudary		Aude	Carcassonne	Castelnaudary-Nord	Airoux	1.867	43.367					583	1		
L0009	9	Alamans castle								Pamiers											1259, 1295, 1309, 1315	4		
L0010	10	Albi					Tarn				Tarn	Albi	Réalmont	Dénat	2.200	43.817					87, 119, 339, 397, 405, 485, 537, 543, 545, 559, 785, 787, 823, 835, 845, 851, 859, 863, 871, 959, 961, 981, 997, 999, 1029, 1103, 1105, 1109-1113, 1177, 1179, 1185, 1189, 1193, 1195, 1219-1223, 1227, 1231-1239, 1429, 1431, 1447, 1467, 1471	48		
L0011	11	Albiac					Haute-Garonne		Caraman		Haute-Garonne	Toulouse	Caraman	Albiac	1.781	43.553					545	1		
L0012	12	Albières					Aude		Mouthoumet		Aude	Carcassonne	Mouthoumet	Albières	2.479	42.948					871	1		
L0013	13	Albigeois		region							Tarn	Albi	Villefranche-d'Albigeois	Villefranche-d'Albigeois	2.331	43.898					87, 177, 323, 561, 565, 909, 935, 945, 969, 973, 1075, 1087, 1105, 1233, 1443	14		
L0014	14	Alet					Aude		Limoux						3.240	43.213					1187, 119, 1281, 1347, 1383, 1421	5		
L0015	15	Alexandrie			northern Italy										12.039	36.801					1519	1		
L0016	16	Alièze					Jura		Orgelet		Jura	Lons-le-Saunier	Orgelet	Alièze	5.578	46.589					985, 991, 1007, 1009, 1029, 1031, 1049, 1055, 1089	9		
