Source,Target,Type,Id,Label,timeset,Weight,based_on_page
282,386,Undirected,0,,,1,XXV:288v
282,501,Undirected,1,,,2,XXV:289r
282,715,Undirected,2,,,2,XXV:289r
282,1578,Undirected,3,,,1,XXV:288v
282,1714,Undirected,4,,,2,XXV:289r
386,501,Undirected,5,,,1,XXV:288v
386,715,Undirected,6,,,1,XXV:288v
386,1578,Undirected,7,,,1,XXV:288v
386,1714,Undirected,8,,,1,XXV:288v
501,715,Undirected,9,,,3,XXV:289r
501,1578,Undirected,10,,,1,XXV:288v
501,1714,Undirected,11,,,2,XXV:289r
715,1578,Undirected,12,,,1,XXV:288v
715,1714,Undirected,13,,,2,XXV:289r
1578,1714,Undirected,14,,,1,XXV:288v
17,106,Undirected,15,,,1,XXVI:68v
17,195,Undirected,16,,,1,XXVI:68v
17,226,Undirected,17,,,1,XXVI:68v
17,413,Undirected,18,,,1,XXVI:68v
17,853,Undirected,19,,,1,XXVI:68v
17,936,Undirected,20,,,1,XXVI:68v
17,1198,Undirected,21,,,1,XXVI:68v
17,1469,Undirected,22,,,1,XXVI:68v
106,195,Undirected,23,,,1,XXVI:68v
106,226,Undirected,24,,,1,XXVI:68v
106,413,Undirected,25,,,1,XXVI:68v
106,853,Undirected,26,,,1,XXVI:68v
106,936,Undirected,27,,,1,XXVI:68v
106,1198,Undirected,28,,,1,XXVI:68v
106,1469,Undirected,29,,,1,XXVI:68v
195,226,Undirected,30,,,1,XXVI:68v
195,413,Undirected,31,,,1,XXVI:68v
195,853,Undirected,32,,,1,XXVI:68v
195,936,Undirected,33,,,1,XXVI:68v
195,1198,Undirected,34,,,1,XXVI:68v
195,1469,Undirected,35,,,1,XXVI:68v
226,413,Undirected,36,,,1,XXVI:68v
226,853,Undirected,37,,,1,XXVI:68v
226,936,Undirected,38,,,1,XXVI:68v
226,1198,Undirected,39,,,1,XXVI:68v
226,1469,Undirected,40,,,1,XXVI:68v
413,853,Undirected,41,,,2,XXVI:66v
413,936,Undirected,42,,,2,XXVI:66v
413,1198,Undirected,43,,,1,XXVI:68v
413,1469,Undirected,44,,,1,XXVI:68v
853,936,Undirected,45,,,2,XXVI:66v
853,1198,Undirected,46,,,1,XXVI:68v
853,1469,Undirected,47,,,1,XXVI:68v
936,1198,Undirected,48,,,1,XXVI:68v
936,1469,Undirected,49,,,1,XXVI:68v
1198,1469,Undirected,50,,,1,XXVI:68v
321,373,Undirected,51,,,1,XXVI:68r
321,427,Undirected,52,,,1,XXVI:68r
321,468,Undirected,53,,,1,XXVI:68r
321,936,Undirected,54,,,2,XXVI:65v
321,1756,Undirected,55,,,1,XXVI:68r
321,1757,Undirected,56,,,1,XXVI:68r
373,427,Undirected,57,,,1,XXVI:68r
373,468,Undirected,58,,,1,XXVI:68r
373,936,Undirected,59,,,1,XXVI:68r
373,1756,Undirected,60,,,1,XXVI:68r
373,1757,Undirected,61,,,1,XXVI:68r
427,468,Undirected,62,,,1,XXVI:68r
427,936,Undirected,63,,,1,XXVI:68r
427,1756,Undirected,64,,,1,XXVI:68r
427,1757,Undirected,65,,,1,XXVI:68r
468,936,Undirected,66,,,1,XXVI:68r
468,1756,Undirected,67,,,1,XXVI:68r
468,1757,Undirected,68,,,1,XXVI:68r
936,1756,Undirected,69,,,2,XXVI:67v
936,1757,Undirected,70,,,2,XXVI:67v
1756,1757,Undirected,71,,,2,XXVI:67v
522,536,Undirected,72,,,7,XXV:49v
522,1144,Undirected,73,,,5,XXV:72v
522,1381,Undirected,74,,,5,XXV:49v
536,1144,Undirected,75,,,12,XXV:49v
536,1381,Undirected,76,,,10,XXV:49v
1144,1381,Undirected,77,,,5,XXV:49v
359,1322,Undirected,81,,,4,XXV:197r
359,1634,Undirected,82,,,1,XXV:196v
1322,1634,Undirected,83,,,1,XXV:196v
71,190,Undirected,84,,,2,XXV:190v
71,245,Undirected,85,,,1,XXV:190r
71,556,Undirected,86,,,2,XXV:191v
71,1088,Undirected,87,,,4,XXV:8v
190,245,Undirected,88,,,1,XXV:190r
190,556,Undirected,89,,,1,XXV:190r
190,1088,Undirected,90,,,1,XXV:190r
245,556,Undirected,91,,,1,XXV:190r
245,1088,Undirected,92,,,1,XXV:190r
556,1088,Undirected,93,,,2,XXV:191v
229,321,Undirected,94,,,1,XXV:288r
229,501,Undirected,95,,,2,XXV:289r
229,715,Undirected,96,,,2,XXV:289r
229,746,Undirected,97,,,1,XXV:288r
229,798,Undirected,98,,,2,XXV:289r
229,1202,Undirected,99,,,1,XXV:288r
229,1337,Undirected,100,,,1,XXV:288r
229,1438,Undirected,101,,,1,XXV:288r
321,501,Undirected,102,,,2,XXV:290r
321,715,Undirected,103,,,1,XXV:288r
321,746,Undirected,104,,,3,XXVI:4v
321,798,Undirected,105,,,1,XXV:288r
