Student ID,kontrola_ID,registry_list_row,Place,Neidentifikovaná,reference count,Zpracoval,kontroloval (ID + meno),Pages_or_folios,Lokalita_latinsky,Typ_lokality,Identifikace_lokality_z_poznámky,Département_or_province,Arrondissement (arrond.),Canton (cant.),Commune (comm.),y_coordinates,x_coordinates,Poznámky k doplněným souřadnicím (nejistota apod.),Kontrola text,Přesnost-studenti,y_kontrola,x_kontrola,kontrola_Department,kontrola_Arrondissement,kontrola_Canton,"kontrola (A - pôvodná lokalizácia, B - oprava)",kontrola_DZ,Precision_DZ
1,2,0,Acre,0,1.00,Bzdúšek,Češek,XXV:23v,in Acon’,settlement,Now city in north of Israel,,,,,49.404,2.822,"V PDF dokumente sa píše, že je to mesto v severnom Izraeli, ale na mape FR som ho našiel, takže neviem, ktoré je správne","Acre bude město v Izraeli, canton apod. smazány jelikož i kdyby to bylo vyhledané město ve Francii, informace byly špatně napsané",,,,,,,,,
1,2,1,Agassens,0,1.00,Bzdúšek,Češek,XXVI:74v,ultra Agacenx,settlement,"Aude, comm. Payra-sur-l’Hers, cant. Salles-sur-l’Hers, arrond. Carcassonne; DTF",Aude,Carcassonne,Salles-sur-l’Hers,Payra-sur-l’Hers,,,Nenájdené na mape,ok,,,,,,,,,
1,2,2,Agen,0,2.00,Bzdúšek,Češek,"XXV:305v, XXV:309v",,settlement,0 Region of the city and diocese of Agen; Lot-et-Garonne,,,,,44.207,0.619,"Iba spomenuté v texte, bez údajov o polohe, na mape som ho ale našiel",ok,1,44.207,0.619,Lot-et-Garonne,Agen,Agen,,,
1,2,6,Aguts,0,1.00,Bzdúšek,Češek,XXV:323v,de Acutis,settlement,"Tarn, cant. Cuq-Toulza, ch.-lieu cant., arrond. Castres; Font-Réaulx, p. 847.",Tarn,Castres,Aguts,,43.531,1.919,,ok,1,43.531,1.919,Tarn,Castres,Cuq-Toulza,,,
1,2,7,Aiguebelle grange,0,1.00,Bzdúšek,Češek,XXV:222v,ad grangiam … quae vocatur Aqua Bela,settlement,"Now La Grange, by the stream of Aiguebelle: Haute-Garonne, comm. and cant. Saint-Lys, ch.-lieu cant., arrond. Muret; A. Clergeac, Cartulaire de l’abbaye de Gimont (Paris and Auch,1895), p. 373 n. 1. Donations to the grange of Aiguebelle are extant from 1164 onwards; ibid., pp. 374-455",Haute-Garonne,Muret,La Grande,"Saint-Lys, ch.-lieu",,,Nenájdené na mape,Přejmenováno na La Grange. Dva možné souřadnicové výsledky. ,,,,,,,obe súradnice 47.282/46.048	6.666/0.376 sú nejako mimo,,
1,2,8,Aigrefeuille,0,1.00,Bzdúšek,Češek,XXV:183v,del Agrefol,settlement,"Haute-Garonne, comm. Lauzerville, cant. Lanta, around. Toulouse; FontRéaulx,
 p. 857",Haute-Garonne,Toulouse,Lanta,Lauzerville,46.117,-0.933,,souřadnice přepsány,1,43.568,1.589,Haute-Garonne,Toulouse,Lanta,,,
1,2,9,Airoux,0,1.00,Bzdúšek,Češek,XXV:248v,de Ayresio de Ayros,settlement,"Aude, cant. Castelnaudary-Nord, arrond. Carcassonne; Font-Réaulx, p. 857",Aude,Carcassonne,Castelnaudary-Nord,,46.306,0.414,,souřadnice přepsány,1,43.364,1.866,Aude,Carcassonne,Castelnaudary-Nord,,,
1,2,10,a la Costa,1,1.00,Bzdúšek,Češek,XXV:89v,,settlement,Probably one of the many places called Lacoste;DTF.,Provence-Alpes-Côte d'Azur,Apt,Bonnieux,,,,Not identified.,"Dopsána poznámka, V současnosti Lacoste, dvě možné souřadnice",1,43.834,5.273,Vaucluse,Apt,Bonnieux,"dopísané dve súradnice, iba jedna bola správne",,
1,2,11,Aisone,0,1.00,Bzdúšek,Češek,XXV:307r,apud Ayso,settlement,"In the province of Cuneo, Piedmont.",Cuneo,,,,44.313,7.22,Podľa mapy mesto v Taliansku,"Dopsána poznámka, ok",1,44.313,7.220,,,,,,
1,2,12,Albi,0,13.00,Bzdúšek,Češek,"XXV:4v, XXV:62r, XXV:126v, XXV:191r, XXVI:49v, XXVI:53v, XXVI:59r, XXV:22v, XXV:35r, XXV:61r–v, XXV:111v, XXV:136v",apud Albiam,settlement,"Tarn; city, diocese ‘Albi’ here means the heretics’ church of Albi, distinct from their church of
 Toulouse.",Tarn,Albi,Albi,,43.924,2.15,,"souřadnice přepsány, dopsány kolonky",1,43.929,2.143,Tarn,Albi,Albi,,,
1,2,15,Albigeois,0,7.00,Bzdúšek,Češek,"XXV:27v, XXV:75v, XXV:184r, XXV:191r, XXV:303r, XXV:307r, XXV:330v",in Albigesio,region-large,"The Albi regionTerritory around Albi, corresponding to arrondissement of Albi",Tarn,Albi,Albi,,43.781,1.633,"Iba spomenuté v texte, bez údajov o polohe, na mape som ho ale našiel",Přepsané souřadnice na Albi,1,43.929,2.143,Tarn,Albi,Albi,Region lokalizovaný na město (ne na centroid),,
